
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
210,Southern Illinois,MVC,-6.25,2.60,-3.65,95.88,100.84,-4.97
211,Texas-Arlington,Sun Belt,3.40,-7.09,-3.69,98.74,103.08,-4.34
212,Winthrop,Big South,0.55,-4.49,-3.94,100.10,105.29,-5.20
213,Denver,Summit,-6.83,2.82,-4.01,103.66,109.10,-5.45
214,Northern Arizona,Big Sky,-2.81,-1.26,-4.07,97.55,102.12,-4.57
215,Oral Roberts,Summit,-0.04,-4.10,-4.14,101.09,106.40,-5.31
216,Radford,Big South,-0.31,-3.99,-4.30,101.21,106.71,-5.49
217,Bradley,MVC,-8.16,3.80,-4.37,92.07,98.15,-6.08
218,Northwestern State,Southland,13.52,-17.95,-4.43,109.14,114.21,-5.07
219,California-Riverside,Big West,-3.17,-1.28,-4.45,95.35,101.18,-5.83
220,Ball State,MAC (West),-1.75,-2.76,-4.50,99.03,105.07,-6.04
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
221,Norfolk State,MEAC,-0.44,-4.07,-4.51,99.86,105.62,-5.77
222,Charleston Southern,Big South,1.27,-5.90,-4.62,101.43,107.44,-6.01
223,North Texas,CUSA,-3.72,-0.93,-4.64,95.45,101.47,-6.02
224,Milwaukee,Horizon,-2.66,-2.01,-4.67,98.93,104.44,-5.51
225,South Florida,AAC,-3.29,-1.43,-4.72,97.08,103.41,-6.33
226,East Tennessee State,Southern,1.83,-6.57,-4.74,100.38,106.25,-5.87
227,South Dakota,Summit,0.53,-5.50,-4.97,99.89,106.26,-6.36
228,Missouri State,MVC,-5.56,0.56,-5.00,96.59,103.52,-6.93
229,Sacramento State,Big Sky,-2.01,-3.01,-5.02,103.45,109.23,-5.78
230,Saint Louis,A-10,-6.04,0.80,-5.24,94.40,101.87,-7.48
231,Southeast Missouri State,OVC (West),-0.85,-4.46,-5.31,97.79,105.00,-7.21
232,Gardner-Webb,Big South,4.25,-9.62,-5.36,103.41,110.41,-7.00
233,Drexel,CAA,-7.74,2.35,-5.39,96.19,102.94,-6.74
234,Boston University,Patriot,0.34,-5.74,-5.40,103.13,110.63,-7.50
235,Texas State,Sun Belt,-9.95,4.52,-5.43,89.36,96.86,-7.50
236,Arkansas-Little Rock,Sun Belt,0.20,-5.66,-5.45,100.07,106.85,-6.78
237,Central Florida,AAC,0.78,-6.29,-5.51,100.66,107.29,-6.64
238,Incarnate Word,Southland,6.42,-11.98,-5.56,104.07,110.57,-6.51
239,Elon,CAA,-0.69,-4.97,-5.66,95.02,103.01,-7.98
240,Nevada,MWC,-5.49,-0.20,-5.69,94.79,102.62,-7.84
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
241,Saint Francis (PA),NEC,-6.17,0.47,-5.70,95.85,103.85,-8.00
242,Western Carolina,Southern,0.26,-6.02,-5.76,99.11,106.60,-7.48
243,Idaho,Big Sky,5.42,-11.18,-5.77,104.05,111.30,-7.26
244,Texas A&amp;M-Corpus Christi,Southland,-6.26,0.45,-5.81,96.00,103.57,-7.57
245,Eastern Illinois,OVC (West),-6.63,0.79,-5.85,95.20,103.68,-8.48
246,Mount St. Mary's,NEC,-6.22,0.25,-5.97,94.36,102.21,-7.85
247,Texas Southern,SWAC,-2.14,-3.86,-5.99,97.81,105.55,-7.74
248,Drake,MVC,-5.66,-0.39,-6.05,101.56,111.10,-9.54
249,Holy Cross,Patriot,-3.56,-2.51,-6.06,97.16,105.81,-8.65
250,Bryant,NEC,-2.89,-3.21,-6.10,99.61,107.63,-8.02
251,Wright State,Horizon,-5.27,-0.94,-6.21,95.58,103.67,-8.09
252,Marshall,CUSA,-0.77,-5.45,-6.22,93.93,101.37,-7.44
253,Army,Patriot,2.18,-8.47,-6.29,97.04,105.54,-8.50
254,Cal State Bakersfield,WAC,-7.10,0.68,-6.42,95.72,104.10,-8.38
255,Maryland-Eastern Shore,MEAC,-2.10,-4.33,-6.43,98.79,107.65,-8.86
256,Cal State Northridge,Big West,-2.15,-4.29,-6.44,97.15,105.52,-8.38
257,Grand Canyon,WAC,-0.39,-6.11,-6.50,102.15,110.47,-8.32
258,Northern Kentucky,A-Sun,-2.65,-3.91,-6.55,99.44,107.77,-8.34
259,Tennessee Tech,OVC (East),0.10,-6.65,-6.56,99.44,108.46,-9.02
260,Siena,MAAC,1.85,-8.62,-6.78,101.90,110.97,-9.07
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
261,Northern Colorado,Big Sky,2.41,-9.21,-6.80,104.98,114.21,-9.22
262,Towson,CAA,-6.15,-0.65,-6.80,96.48,106.35,-9.87
